title,purpose,category
All-Party Parliamentary Group for Further Education and Lifelong Learning,"To promote and develop the interests of further education, adult learning, skills sectors and to advise government ministers on matters of concern to those sectors.",Subject
Fusion Energy All-Party Parliamentary Group,To inform and advise parliamentarians on the present status of research; how to maximise UK industry income and export potential; how fusion can benefit from government investment; how fusion fits into the new research landscape under UKRI; and how to fully exploit the synergies between fusion research and advanced nuclear fission technologies.,Subject
All-Party Parliamentary Group for Future Generations,To raise awareness of long-term issues; to explore ways to internalise longer-term considerations into today's decision making; to create space for cross-party dialogue on combating short-termism in policy making.,Subject
All-Party Parliamentary Group for Gambling Related Harm,To address the issues associated with gambling related harm.,Subject
All-Party Parliamentary Group on Game and Wildlife Conservation,To provide a forum for discussion of science-based game and wildlife conservation policies in the countryside.,Subject
All-Party Parliamentary Gardening and Horticulture Group,To promote and facilitate communication and understanding between representatives of the world of gardening and horticulture and Members of both Houses.,Subject
All-Party Parliamentary Group on General Aviation,"To promote the objective - as set out by the British Government - of making the UK the best country in the world for General Aviation through inspiring both current and future generations to take up science, technology, engineering and mathematics, thereby creating high-tech jobs and growth in our economy.",Subject
All-Party Parliamentary Group for Genetic Haemochromatosis (Iron Overload),"To raise parliamentary awareness and public understanding of Genetic Haemochromatosis (GH), its prevalence and implications.  To drive policy change to improve the welfare of GH patients across the UK.  To influence ministers, parliamentarians, government bodies and NHS representatives to improve patient pathways through the UK healthcare and support systems.",Subject
All-Party Parliamentary Group for the Prevention of Genocide and Crimes Against Humanity,To raise awareness and build coalitions to prevent conflicts and genocides around the world.,Subject
All-Party Parliamentary Group on Global Education,"To raise greater awareness of the factors affecting education in developing countries, and the government's obligations to help meet international goals for education for all. To work with all parties, international development organisations, education stakeholders (including unions) both nationally and internationally, to help secure a good quality education for all.",Subject
All-Party Parliamentary Group on Global Health,"To provide a parliamentary platform to identify and debate global health issues and concerns, raise the profile of global health within Parliament and government, and to prepare reports and make recommendations as appropriate.",Subject
All-Party Parliamentary Group on Global Security and Non-Proliferation,"To encourage discussion and debate, on the basis of expert information and opinion from across the political spectrum, on matters relating to global security and the proliferation of weapons of mass destruction - whether nuclear, chemical or biological.",Subject
All-Party Parliamentary Group for Golf,To support the sport of golf.,Subject
All-Party Parliamentary Group for the Golfing Society,"To enable all MPs, Peers and staff in Parliament to play in golf matches, without being a member of any formal club, against other golf clubs in the UK, giving members of those clubs the opportunity to better understand the workings of Parliament.",Subject
Greater Manchester All-Party Parliamentary Group,"To bring MPs and Peers of all parties together with key leaders - the Mayor and those in local government, the private and voluntary sectors, and social enterprise - to help maximise future investment in the region for the benefit of all the communities of Greater Manchester.",Subject
All-Party Parliamentary Group on Green Deal Misselling,To gather evidence from constituents who have been missold home improvements such as solar panels or insulation from rogue traders operating under the Green Deal.  The group aims to find solutions for affected constituents and to prevent similar problems occurring under the new Green Deal.,Subject
All-Party Parliamentary Greyhound Group,To raise parliamentary awareness of issues relating to the greyhound industry.  To promote the sport and related welfare issues.,Subject
"All-Party Parliamentary Group for Gypsies, Travellers and Roma","To provide a forum for parliamentarians concerned about issues facing Gypsies, Travellers and Roma.",Subject
All-Party Parliamentary Group on Hadrian's Wall,To promote the 150 mile long UNESCO world heritage site and associated tourism outside of the north-east region; and to explore ways of increasing the importance of Hadrian's wall as an economic and cultural asset for every part of its route across the north-east and Cumbria.,Subject
All-Party Parliamentary Group on Haemophilia and Contaminated Blood,"To promote awareness of, and campaign for, people with haemophilia and other bleeding disorders and people infected with blood-borne viruses due to contaminated blood and blood products used in their healthcare treatment.",Subject
"All-Party Parliamentary Group for Hairdressing, Barbering and Cosmetology","To promote the role of qualified, professional hairdressers and barbers, and facilitate an informed debate amongst parliamentarians regarding all aspects of the industry.",Subject
All-Party Parliamentary Group on Hajj and Umrah,"To establish facts about the UK Hajj and Umrah sectors; engage the sectors and identify and understand gaps, issues and trends; recommend ways to improve policy and good practice; and give a voice for stakeholders and consumers.",Subject
All-Party Parliamentary Health Group,"The APPG is dedicated to disseminating knowledge, generating debate and facilitating engagement with health issues amongst Members of both Houses of Parliament.",Subject
All-Party Parliamentary Group on Health in all Policies,To consider the effects of national public policy on the heatlh of UK populations - particularly on health inequalities between different population groups; to provide a discussion forum for parliamentarians; and to act as a source of well-evidenced and independent information on key social and public health issues.,Subject
All-Party Parliamentary Group for Healthcare Infrastructure,"To raise awareness of the importance of innovation in the physical infrastructure of health services. The group meets throughout the year to explore, discuss and debate key challenges facing the buildings, technology and facilities supporting the NHS and the needs of its patients.",Subject
All-Party Parliamentary Group for Healthy Homes and Buildings,"To bring together MPs and Peers of all parties together with policy makers, business leaders and industry experts to highlight the health and cost benefits which can be derived from constructing our buildings and homes to the highest levels of comfort, safety and energy efficiency.",Subject
All-Party Parliamentary Group on Heart and Circulatory Diseases,"To provide a forum for parliamentarians to work with experts across the health sector, patients and organisations to improve health outcomes for people living with heart and circulatory diseases in the UK.",Subject
All-Party Parliamentary Group on Heathrow Expansion,"To examine issues relating to the proposed expansion of Heathrow Airport and scrutinise the economic, environmental and social impacts of the proposal.",Subject
All-Party Parliamentary Group on Heritage Rail,"To brief parliamentarians about heritage railways, the contribution they make to their local and regional economies and the skills training opportunities involved.",Subject
All-Party Parliamentary Group for Highways,"To increase Members' knowledge and awareness of issues concerned with the proper provision and maintenance of our highways, with a focus on Local Authority roads.",Subject
All-Party Parliamentary Group on Hill Farming,"To promote and protect hill farming interests and the communities that depend upon hill farming throughout the United Kingdom, raising issues of concern with government ministers, departments and relevant national assemblies.",Subject
All-Party Parliamentary Group for Historic Vehicles,"To encourage interest in, and the promotion and use of, vintage historic and classic vehicles.",Subject
All-Party Parliamentary Group on HIV and AIDS,"To facilitate good policy-making, respectful of human rights, that will limit the spread of HIV, mitigate its impact and support those already living with the virus, in the UK and internationally, and to hold the government to account for its relevant commitments.",Subject
All-Party Parliamentary Group for Hockey,"To promote the sport of hockey in Parliament, support the sport's growth and increase general participation in hockey.",Subject
All-Party Parliamentary Group on Holocaust Memorial,To promote holocaust memorial and education in Parliament; and to support the establishment of a holocaust memorial and learning centre.,Subject
All-Party Parliamentary Group on the Holy See,"To act as a conduit for closer relations and better understanding between the UK and the Holy See, and to keep Members and Peers fully briefed about the global activities of the Catholic Church.",Subject
All-Party Parliamentary Group for Home Electrical Safety,To raise parliamentary awareness of issues relating to electrical safety in domestic dwellings and to promote the prevention of accidents with electricity; to provide a forum for parliamentarians to discuss issues pertinent to their constituents on electrical safety; and to hold inquiries into policy issues and provide reports.,Subject
All-Party Parliamentary Group for Ending Homelessness,To bring together parliamentarians of all parties with an interest in and commitment to ending homelessness; focus on all types of homelessness and differing solutions needed; make recommendations for the work of a wide range of departments who are key to ending homelessness.,Subject
All-Party Parliamentary Group on 'Honour'- Based Abuse,To debate and scrutinise issues relating to 'honour'-based abuse. To raise awareness of 'honour'-based abuse with a view to attempting to expose and eradicate such practices in the UK.,Subject
All-Party Parliamentary Group on Hormone Pregnancy Tests,To investigate the use of the drug 'Primodos' and other oral hormone pregnancy test drugs used in the 1960s and 1970s.  To support calls for an independent inquiry into the use of hormone pregnancy tests.,Subject
All-Party Parliamentary Group for the Horse,"To promote the welfare of horses (including all equines, horse riders and users) and matters affecting the horse industry.",Subject
All-Party Parliamentary Group on Hospice and End of Life Care,"To raise awareness and promote the needs of people living with terminal or life-shortening conditions, and their families and carers, in parliament; and to promote policies to improve care and support that are person-centred and evidence-based.",Subject
All-Party Parliamentary Group for Hospitality,"Enhancing our local economy by promoting measures and incentives, including a reduction of VAT on tourism, which would increase visitor numbers and investment in all parts of Britain and Northern Ireland.",Subject
All-Party Parliamentary Group on Housing and Care for Older People,"To promote discussion and set the agenda for developing better, more joined up housing care for older people, promising greater choices in later life.",Subject
All-Party Parliamentary Group on Housing and Employment,"To champion social housing providers that support many local people into employment; and to examine and share the most effective ways to support social housing tenants and residents into work, based on solid evidence and replicable practice.",Subject
All-Party Parliamentary Group for Housing and Planning,"To promote understanding of, and policy answers to, issues in housing and planning.",Subject
All-Party Parliamentary Group for Housing in the North,"To provide a forum for parliamentarians to discuss and advance housing and related policy, its impact across the north of England, and to set an agenda that seeks to ensure the needs and ambitions of northern communities are addressed in housing policy development.",Subject
All-Party Parliametnary Group on Human Gut Microbiome,To highlight the role of the gut microbiome in physical and mental health and its capacity to prevent many disorders and improve or slow others; to inform debate about how this will save money for the Treasury and NHS; and to enable communications between interested parties and relevant parliamentarians.,Subject
All-Party Parliamentary Human Rights Group,To raise the profile of international human rights issues within Parliament and to investigate and publicise human rights abuses occurring.,Subject
All-Party Parliamentary Group on Human Trafficking and Modern Slavery,To raise awareness of the scale and effects of human trafficking into the UK and EU; to seek solutions to reduce supply and demand and to improve welfare provisions for victims.,Subject
All-Party Parliamentary Humanist Group,To bring together non-religious MPs and peers to discuss matters of shared interests.,Subject
All-Party Parliamentary Group on Hydrogen,"To provide a forum for parliamentarians to engage with leading businesses and organisations that, in the context of the Climate Change Act and the Paris Agreement, are working to enable the UK to meet its decarbonisation targets through implementation of large scale hydrogen projects, and discuss policy options to support these.",Subject
All-Party Parliamentary Group on Illicit Trade,"To investigate and raise awareness of illicit trade in Britain, support closer working with parliamentarians to bring fresh impetus and ideas to tackling illicit trade and to highlight the impact on local businesses, high streets and communities.",Subject
All-Party Parliamentary Group on Immigration Detention,"To increase knowledge in Parliament on immigration detention in the UK and its impacts; to connect parliamentarians with relevant research, organisations and experts, including people with lived experience of detention; and to advocate for evidence-based policy reforms and the welfare of detainees.",Subject
All-Party Parliamentary Group on Inclusive Growth,"To create a parliamentary space for a high-level dialogue between MPs, peers, businesses, faith groups, trade unions and academics. The goal is to identify how to reconnect wealth creation and social justice.",Subject
All-Party Parliamentary Group on Independent Education,"To provide a forum to discuss developments in the independent education sector, discuss issues facing the sector, highlight best practice, explore the wider contribution of the sector, share knowledge, and raise matters affecting the sector with government and sector leaders.",Subject
All-Party Parliamentary Group on Indian Traditional Sciences,"To promote and facilitate informed discussions on issues concerning all Indian traditional sciences practised in the UK by providing a forum for cross-party parliamentarians, senior policy makers, academics, leading community figures and stakeholders.",Subject
All-Party Parliamentary Group on Industrial Heritage,To promote the industrial heritage of the United Kingdom and aim to help support British industrial heritage sites in a time of austerity.,Subject
All-Party Parliamentary Group on Infant Feeding and Inequalities,"To raise awareness of infant feeding and allow MPs, Peers and policy stakeholders an opportunity to meet regularly to ensure that this topic remains a priority for HM Government with a view to reducing inequalities and improving health.",Subject
All-Party Parliamentary Group on Inflammatory Bowel Disease,"To work with Parliamentarians and stakeholders to raise awareness of Crohn's Disease, Ulcerative Colitis and other forms of Inflammatory Bowel Disease to ensure high quality, sustainable, patient-centred clinical care, drive pioneering research and reduce discrimination in accessing services across the UK.",Subject
All-Party Parliamentary Group on Infrastructure,"To highlight the importance of infrastructure, engineering and the use of underground space to the economy and society, and to hear from experts and discuss matters arising.",Subject
All-Party Parliamentary Group on Inheritance and Intergenerational Fairness,To promote understanding of the issues generated by inheritance and intergenerational fairness and to facilitate discussion on methods of reform.,Subject
All-Party Parliamentary Group for the UK's Innovation Corridor,"To champion the UK's Innovation Corridor that runs between London and Cambridge as a vital region to support economic growth, the delivery of new homes and the creation of skilled jobs.",Subject
All-Party Parliamentary Group for Insurance and Financial Services,"To examine issues of interest to the insurance and broader financial sectors, especially where there are legislative implications.",Subject
All-Party Parliamentary Group for Integrated Healthcare,To provide a forum for discussion on issues related to integrated healthcare; to stimulate well-informed debate among politicians and stakeholders; and to contribute towards the development of knowledge and policies on the subject.,Subject
All-Party Parliamentary Group for Intellectual Property,To debate and highlight the value of intellectual property (IP) and the importance of its promotion and protection. The Group meets several times a year on topical issues relating to intellectual property.,Subject
All-Party Parliamentary Group for Intelligent Energy,"To develop among parliamentarians and key opinion formers a deeper understanding of energy efficiency and sustainable energy technologies and processes through parliamentary activity, public information and broad political debate.",Subject
All-Party Parliamentary Inter-Faith Group,To raise awareness amongst parliamentarians of the religious dimension to current issues.,Subject
All-Party Parliamentary Group on International Conservation,"To provide a forum to address wildlife conservation and biodiversity issues affecting our planet including but not limited to ecosystem collapse, species extinctions, land degradation, invasive species, illegal fishing and other threats to the natural world.",Subject
All-Party Parliamentary Group for International Students,"To recognise the internationalisation and global prominence of UK education; promote the value of international students to UK education, economy and 'soft power'; raise awareness of issues which affect international students and UK education; and provide a platform for collaboration between parliamentarians, international education institutions and professionals and business leaders.",Subject
All-Party Parliamentary Group for International Trade and Investment,"To discuss ways in which the UK government can help UK businesses export and take part in international trade and promote links between parliamentarians, industry and government.",Subject
"Parliamentary Internet, Communications and Technology Forum (an All-Party Parliamentary Group)","To further understanding of policy issues affecting the internet, communications and technology sector between parliamentarians, the industry, consumer groups and academia.",Subject
All-Party Parliamentary Group on Islamic Finance,"To give the Islamic finance industry a voice in Parliament; to address issues as they arise such as Sukuk issuances, inclusivity, regulation and taxation whilst positioning the UK as the European hub of Islamic financial services, and also to play a wider role in promoting ethical finance.",Subject
All-Party Parliamentary ITV Group,To provide a forum for parliamentarians to consider and discuss the role and contribution of ITV in broadcasting in the UK and regulatory issues.,Subject
All-Party Parliamentary Group on Jainism,To raise the profile of Jainism in the UK.,Subject
All-Party Parliamentary Group for Jazz Appreciation,"To encourage wider and deeper enjoyment of jazz, to increase parliamentarians' understanding of the jazz industry and issues surrounding it, to promote jazz as a musical form and to raise its profile inside and outside Parliament.",Subject
All-Party Parliamentary Kidney Group,To improve understanding in Parliament of kidney disease and transplant medicine and promote improvements in the health and care services that are available to improve the health of people with renal failure.,Subject
All-Party Parliamentary Group on Knife Crime,"To evaluate policies and programmes aimed at reducing knife crime, gain better understanding of its root causes and the wider context of youth violence, and develop recommendations for new measures at both acute and preventative stages with a view to reducing levels of knife crime.",Subject
All-Party Parliamentary Group for Kurds in Iran,"To raise the condition of the Kurdish people in Iran.  To raise awareness of solidarity and engagement for building democratic, free relationships by encouraging dialogue and discussions.  To support efforts of developing and consolidating democracy, peaceful co-existence and harmony in the region.  To organise cultural and social events, workshops and seminars to raise awareness of solidarity, development and the needs of the region.",Subject
All-Party Parliamentary Group for Kurds in Turkey,"To raise the condition of the Kurdish people in Turkey.  To raise awareness of solidarity and engagement for building democratic, free relationships by encouraging dialogue and discussions.  To support efforts of developing and consolidating democracy, peaceful co-existence and harmony in the region.  To organise cultural and social events, workshops and seminars to raise awareness of solidarity, development and the needs of the region.",Subject
All-Party Parliamentary Group on Land Value Capture,"To work in partnership with national and local government departments, land developers and others to create a forum for parliamentarians and interested stakeholders to discuss and develop innovative proposals to capture increases in land value, for the public benefit.",Subject
All-Party Parliamentary Group on Learning Disability,"To look at the issues facing people with a learning disability and their families. The group looks at the key issues of the day, across areas including health, social care, education, work and benefits.",Subject
All-Party Parliamentary Group on Leasehold and Commonhold Reform,"To examine the complex, antiquated legal matrix governing leasehold tenure in England; analyse the effects of investigatory powers by Government and regulatory bodies within the leasehold sector on protecting leaseholders from exploitation; explore how our current leasehold laws and systems can be improved and the implementation of commonhold tenure, as it is intended.",Subject
All-Party Parliamentary Group on Legal Aid,To promote parliamentary and public understanding of the importance of the role of publically funded legal services.,Subject
All-Party Parliamentary Group on Legal and Constitutional Affairs,"To facilitate greater interaction between Parliament and the different branches of the legal profession, and to promote dialogue and understanding of legal and constitutional issues relating to justice and the legal services sector.",Subject
"All-Party Parliamentary Group on Global Lesbian, Gay, Bisexual, and Transgender Rights","To advance LGBT rights around the world. We provide a forum for parliamentarians and organisations across the public, private and third sectors to work together to champion LGBT rights and push back against abuse and discrimination. We principally focus on international LGBT rights but include domestic issues within our remit.",Subject
All-Party Parliamentary Group for Life Sciences,To raise awareness and understanding of the valuable contribution the life sciences sector provides to the health and wealth of the nation.,Subject
All-Party Parliamentary Light Rail Group,"To encourage, promote and develop light rail, trams and environs and its benefits as a mode of transport.",Subject
All-Party Parliamentary Group on Limits to Growth,"To create the space for cross-party dialogue on environmental and social limits to growth; to assess the evidence for such limits, identify the risks and build support for appropriate responses; and to contribute to the international debate on redefining prosperity.",Subject
Lipoedema All-Party Parliamentary Group,"To support and increase awareness within Parliament, healthcare professionals and the wider public, so as to increase correct diagnosis and treatment available to the many people affected by this painful, uncomfortable and unsightly condition, often undiagnosed for years or misdiagnosed as obesity or lymphoedema.",Subject
All-Party Parliamentary Group on Listed Properties,"To speak up for listed properties in the UK and raise awareness in Parliament of the role played by their owners in protecting the nation's heritage; and to advocate policies that support owners in preserving listed properties, including tax and planning reform.",Subject
All-Party Parliamentary Group on Literacy,"To champion the fight to improve public understanding of the vital importance and impact of literacy and to ensure parliamentary knowledge and support for the latest research, policy and best practice in the field of literacy.",Subject
All-Party Parliamentary Group on Liver Health,"To promote discussion of liver disease, including its major causes of viral hepatitis, alcohol and obesity, and to raise matters of concern with, and make representations to, government and other policy makers.",Subject
Liverpool City Region All-Party Parliamentary Group,"To bring MPs and Peers of all parties together with key leaders, including the Liverpool City Region Metro Mayor and those in local government, the private sector and social enterprise, to help maximise future investment in the wider Liverpool City Region for the benefit of all its local communities.",Subject
All-Party Parliamentary Loan Charge Group,"To raise concerns about the 2019 Loan Charge, which will affect thousands of freelance, contract and locum workers in the UK as well as the wider context of fairness of tax legislation and the conduct of Her Majesty's Revenue and Customs.",Subject
All-Party Parliamentary Group on Local Authority Pension Funds,To discuss the issues and concerns of local authority pension funds and the work of the Local Authority Pension Fund Forum.,Subject
All-Party Parliamentary Group on Local Democracy,To promote the virtues of exiting forms of first tier local authorities; to inform policy making and initiatives affecting first tier local authorities; and to stimulate debate on models of community governance.,Subject
All-Party Parliamentary Group on Local Government,To discuss issues of interest and concern to parliamentarians and councillors about local government.,Subject
All-Party Parliamentary Group for London,"To promote London in the interests of all its people, places and businesses as a global city and powerhouse of the economy.",Subject
All-Party Parliamentary Group for London's Green Belt,To advocate Green Belt-friendly planning policies and contribute to the debate on how best to achieve sustainable development that protects London's Green Belt for the benefit of future generations.,Subject
All-Party Parliamentary Group for London's Planning and Built Environment,"To explore the social, economic and environmental issues affecting London at a strategic level and build consensus as to the ways in which these might be addressed.",Subject
All-Party Parliamentary Group on Loneliness,To drive forward cross-party work among parliamentarians to influence legislation and policy making in order to reduce loneliness and build on the work of the Jo Cox Commission on Loneliness.,Subject
All-Party Parliamentary Group for Longevity,"Cross-disciplinary exchange on benefits of longevity (as opposed to 'problems' of ageing) within an ethical, citizen-centred framework to maximise the societal benefits of enabling healthier, more productive and purposeful lives.  AI and data-driven solutions to increase healthspan and democratise access to the 'longevity dividend' for citizens will be a focus.",Subject
All-Party Parliamentary Group for Looked After Children and Care Leavers,"To promote the voice of children and young people in care, in order to promote first class government policy for children in care and care leavers.",Subject
All-Party Parliamentary Group on Malaria and Neglected Tropical Diseases,"To raise awareness of malaria and neglected tropical diseases amongst parliamentarians; and to encourage the UK Government to provide political will, leadership and sustainable funding for the necessary prevention and treatment of these diseases.",Subject
All-Party Parliamentary Group on Management,To drive UK productivity and social well-being through promoting closer understanding between parliamentarians and UK managers and leaders from across all sectors.,Subject
All-Party Parliamentary Manufacturing Group,"To encourage the exchange of knowledge and understanding between Parliament and the manufacturing industries, helping to raise the profile of manufacturing both inside and outside of Parliament.",Subject
All-Party Parliamentary Group on Marine Energy and Tidal Lagoons,"To promote the economic, supply chain and energy security benefits from the development of marine energy resources in and around the UK.",Subject
All-Party Parliamentary Maritime and Ports Group,"To provide a forum for the exchange of views between parliamentarians and leading figures in the shipping, ports and maritime business industries.",Subject
All-Party Parliamentary Markets Group,To ensure the viability and stress the economic importance of the UK's retail markets industry.,Subject
All-Party Parliamentary Group on Maternity,"To improve the quality of maternity services, raise awareness of the contribution maternity care can make to public health, and improve support during the first 1000 days of parenthood.",Subject
All-Party Parliamentary Group for the Mayflower Pilgrims,To promote the historic roots of the Mayflower Pilgrims in the United Kingdom in the lead up to the 400th anniversary of their arrival in the United States.,Subject
All-Party Parliamentary Media Group,To provide a forum for the discussion of public policy on the media.,Subject
All-Party Parliamentary Group on Media Freedom,To promote media freedom in countries around the world and to strengthen the protection of journalists.,Subject
All-Party Parliamentary Group on Medical Research,"To provide an ongoing forum and network for parliamentarians with an interest in medical research; facilitate collaboration between parliamentarians and medical research bodies; and provide MPs and peers with up to date information on developments in medical research, including aspects of public health, ethics of research, and the implications of research findings for society.",Subject
All-Party Parliamentary Group on Access to Medicines and Medical Devices,"To examine pricing, funding and wider access issues relating to the availability of medicines and medical technologies on the NHS in England.",Subject
All-Party Parliamentary Group on Mental Health,To inform parliamentarians about all aspects of mental health.,Subject
All-Party Parliamentary Group on Mentoring,The APPG believes in the power of mentoring to unlock the full potential of young people and aid social mobility across the UK.,Subject
All-Party Parliamentary Group on Mersey Dee North Wales,"To forge further economic, social and political links in the unique, urban cross-border areas of North Wales, the Wirral and Cheshire West and Chester.",Subject
"All-Party Parliamentary Group on Metal, Stone and Heritage Crime","To raise awareness of the social and economic impact of metal, stone and heritage crime.",Subject
All-Party Parliamentary Group on Micronutrients and Health,"To promote awareness and understanding, and to help form strategies in Parliament, of the vital role of micronutrients (vitamins and minerals) in helping people to be healthier, and of the importance of nutritional food supplements, which are now taken by over 25 million consumers, 60% of them on a daily basis.",Subject
All-Party Parliamentary Group on Migration,"To support the emergence of mainstream, progressive policy debate on migration in the UK parliament.",Subject
All-Party Parliamentary Group on Mindfulness,"To review research evidence, current best practice, extent and success of implementation, and potential developments in the application of mindfulness within a range of policy areas, and to develop policy recommendations for government based on these findings.",Subject
All-Party Parliamentary Group for Mining and Quarrying,To keep Members of both Houses up to date on issues to do with the provision of essential minerals produced in the UK to underpin construction and other industries.,Subject
All-Party Parliamentary Group on Miscarriages of Justice,To examine the structural problems within the criminal justice system which result in miscarriages of justice and to provide a forum from which to improve access to justice for those who have been wrongly convicted.,Subject
All-Party Parliamentary Group on Modern Languages,"To explore the educational, skills-related, employment, competitive and cultural benefits of learning and using languages throughout the UK; to provide a parliamentary forum for information exchange and consultation; to encourage and support policies and action improving the take-up of languages in schools, further and higher education, in the workplace and in the community.",Subject
All-Party Parliamentary Group on Mortgage Prisoners,To ensure that all mortgage prisoners are given a fair deal and fair treatment (including by any organisation to which their mortgage is or might be assigned) and explore the issues relating to the ability of customers to switch mortgages including affordability criteria and associated regulatory changes.,Subject
All-Party Parliamentary Motor Group,"To debate current and future issues of strategic importance to the UK’s automotive industry, motorsport industry and vehicle users, focussing on the role of the motor vehicle, including the environmental impact; and to promote dialogue between politicians, these industries, users and other stakeholders.  The joint-secretariat partners collaborate to support this mission.",Subject
All-Party Parliamentary Group on Motor Neurone Disease,"To raise awareness of Motor Neurone Disease (MND) and to provide a forum for discussion among parliamentarians on issues that affect people with MND, their carers and families.",Subject
All-Party Parliamentary Group for Motorcycle Speedway,To provide a forum for parliamentarians with an interest in the sport of motorcycle speedway and to liaise with the British Speedway Promoters Association and others with an interest in the sport.,Subject
All-Party Parliamentary Motorcycling Group,"To safeguard motorcycling interests by monitoring legislation for matters affecting motorcycling and taking remedial action where necessary; to represent motorcycling to fellow parliamentarians; to foster the good image of motorcycling, and, by example, encourage others to take up motorcycling.",Subject
Mountaineering All-Party Parliamentary Group,"To promote the sporting and recreational interests of climbers, hill walkers and mountaineers; to raise awareness of the physical and social benefits of mountaineering; and to campaign for sustainable access to cliffs, mountains and open countryside.",Subject
All-Party Parliamentary Group for Multiple Sclerosis,To promote the interests of people affected by MS (Multiple Sclerosis).,Subject
All-Party Parliamentary Group for Muscular Dystrophy,"Raises awareness of all types of muscular dystrophy and neuromuscular conditions and promotes links between parliament, individuals and families affected by these muscle-wasting conditions, charities, scientists, health professionals and decision-makers.",Subject
All-Party Parliamentary Group on Music,To provide a discussion forum between the music industry and parliamentarians.,Subject
All-Party Parliamentary Group for Music Education,"To support parliamentarians engaging in discussions relating to music education through early years, primary, secondary, SEND, further and higher education, and lifelong learning. The Group shall have a particular focus on Curriculum, the National Plan for Music Education, challenges facing higher education and progression into the creative and cultural sector.",Subject
All-Party Parliamentary Group for Mutuals,To discuss and support mutuals.,Subject
All-Party Parliamentary Group on National Parks,"To inform members of key issues relating to the UK's national parks, their authorities and areas that may merit NP status; to discuss issues of common concern; to advance the place of NPs in society within Parliament, focusing on conservation and enhancement, opportunities for public learning and enjoyment, and the well-being of NP communities.",Subject
All-party Parliamentary Group for Nature,"To provide a forum for engaging and inspiring parliamentarians and others with the natural world, the major threats that is faces today, and the positives that come from a healthy natural environment.",Subject
Net Zero All-Party Parliamentary Group,"To secure a low carbon and clean industrial and economic future for the UK, embed zero carbon solutions and accelerate net zero growth, innovation and global influence.",Subject
All-Party Parliamentary Group on Netball,To support netball.,Subject
All-Party Parliamentary Group on New Towns,To highlight the challenges currently facing new towns. To consider the successes and failures of new towns in order to learn from the past help shape future development policy.,Subject
All-Party Parliamentary Group on No Recourse to Public Funds,"To draw attention to the challenges faced by destitute migrants who have no recourse to public funds by virtue of having irregular immigration status or a condition imposed on their visa, with a particular focus on families and vulnerable adults, and to contribute to the development of policy and legislation in this area.",Subject
Northern Powerhouse All-Party Parliamentary Group,"To bring together northern MPs and Peers with the new metro mayors and key leaders - from local government, the private and third sectors - to give a strong political voice for policies which support the northern economy and promote its potential as a place to study, work, live and invest.",Subject
All-Party Parliamentary Group on Nuclear Energy,A forum for parliamentarians to discuss civil nuclear energy on a cross-party basis.,Subject
"All-Party Parliamentary Group on Nursery Schools, Nursery and Reception Classes",To promote the role of high quality early childhood education in improving children's life chances; and to provide opportunities for parliamentarians to discuss early years policy issues with practitioners and researchers.,Subject
All-Party Parliamentary Group on Nutrition for Growth,To support and challenge the UK government to maintain their leadership on global nutrition and to make a significant pledge at the Nutrition for Growth summit in Tokyo 2020.,Subject
All-Party Parliamentary Group on Obesity,To take a new approach to tackling obesity through treatment and prevention. The Group will have a focus on developing and promoting an optimum patient pathway for obesity and generating a public policy environment in which it is recognised by politicians and the NHS that obesity needs to be a priority.,Subject
All-Party Parliamentary Group on Occupational Safety and Health,To provide a forum for the discussion and promotion of issues relating to occupational health and safety; to provide information to members of both houses of parliament on topical issues; and to publish reports as and when necessary.,Subject
Ocean Conservation All-Party Parliamentary Group,"To address the most urgent ocean conservation issues affecting our marine and coastal areas, including but not limited to: plastic pollution, water quality, marine protected areas, climate change and coastal developments.",Subject
All-Party Parliamentary Group on Off-Patent Drugs,To raise the issue of accessibility of off-patent drugs within Parliament; to raise issues of relevance with government and policy makers; and to influence policy to improve access.,Subject
British Offshore Oil and Gas Industry All-Party Parliamentary Group,"To provide a forum for discussion of issues relevant to the British offshore oil and gas industry and other related industries, and to raise matters with government and industry itself.",Subject
All-Party Parliamentary Group for Oil Refining Sector,"To provide a forum for discussion of issues relevant to the UK oil refining sector, discuss latest developments relevant to current policy priorities, UK and EU legislation and to raise matters with government and industry itself.",Subject
All-Party Parliamentary Opera Group,To provide a focal point for MPs and Peers with an interest in opera; to further the appreciation of opera; and to provide a contact point between this art form and Parliament.,Subject
All-Party Parliamentary Group on Oracy,"To co-ordinate research, promote best practice and encourage the overarching principles of oracy in education and society at large.",Subject
All-Party Parliamentary Osteoporosis Group,To inform both Houses about osteoporosis.,Subject
All-Party Parliamentary Group on Ovarian Cancer,To provide a forum for MPs and peers to discuss ovarian cancer related issues; to raise areas of concern with government or other policy makers; to raise the profile of ovarian cancer within Parliament and seek opportunities to help improve survival and quality of life for women.,Subject
All-Party Parliamentary Group for the Packaging Manufacturing Industry.,To create a better understanding of the UK packaging manufacturing industry and its products; to address issues facing the industry from regulation; and to promote the UK as a centre of excellence for packaging manufacture.,Subject
All-Party Parliamentary Group for the Pakistani Minorities,To raise awareness of and help eliminate discrimination and persecution of religious minorities by the state and others.,Subject
All-Party Parliamentary Group on Pancreatic Cancer,To raise the profile of pancreatic cancer in Parliament; to raise issues of relevance with government and policy makers; and to influence policy to improve life for pancreatic cancer patients and survivors.,Subject
