title,purpose,category,benefit_source,benefit_description,benefit_value_lower,benefit_value_higher,benefit_received,benefit_registered
All-Party Parliamentary Group for Ending Homelessness,To bring together parliamentarians of all parties with an interest in and commitment to ending homelessness; focus on all types of homelessness and differing solutions needed; make recommendations for the work of a wide range of departments who are key to ending homelessness.,Subject,Crisis,Secretariat From 28/06/2019 To 27/06/2020,3001,4500,2019-06-28,2019-10-25
All-Party Parliamentary Group on Hospice and End of Life Care,"To raise awareness and promote the needs of people living with terminal or life-shortening conditions, and their families and carers, in parliament; and to promote policies to improve care and support that are person-centred and evidence-based.",Subject,Hospice UK,Secretariat From 05/09/2018 To 04/09/2019,4501,6000,2018-09-05,2018-12-05
All-Party Parliamentary Group for Hospitality,"Enhancing our local economy by promoting measures and incentives, including a reduction of VAT on tourism, which would increase visitor numbers and investment in all parts of Britain and Northern Ireland.",Subject,UKHospitality,Secretariat From 21/03/2018 To 20/03/2019,1501,3000,2018-03-21,2018-11-21
All-Party Parliamentary Group on Housing and Employment,"To champion social housing providers that support many local people into employment; and to examine and share the most effective ways to support social housing tenants and residents into work, based on solid evidence and replicable practice.",Subject,Give us a Chance,Secretariat From 09/07/2018 To 08/07/2019,3001,4500,2018-07-09,2018-08-02
All-Party Parliamentary Group for Housing and Planning,"To promote understanding of, and policy answers to, issues in housing and planning.",Subject,Royal Town Planning Institute,Secretariat From 12/09/2018 To 11/09/2019,3001,4500,2018-09-12,2019-04-17
All-Party Parliamentary Human Rights Group,To raise the profile of international human rights issues within Parliament and to investigate and publicise human rights abuses occurring.,Subject,Amnesty International UK,Reception held on 12/12/2018,1501,3000,2018-12-12,2018-12-18
All-Party Parliamentary Group on Human Trafficking and Modern Slavery,To raise awareness of the scale and effects of human trafficking into the UK and EU; to seek solutions to reduce supply and demand and to improve welfare provisions for victims.,Subject,Human Trafficking Foundation,Secretariat From 12/09/2018 To 11/09/2019,4501,6000,2018-09-12,2018-11-29
All-Party Parliamentary Humanist Group,To bring together non-religious MPs and peers to discuss matters of shared interests.,Subject,Humanists UK,Secretariat From 13/09/2018 To 12/09/2019,9001,10500,2018-09-13,2018-09-06
All-Party Parliamentary Group on Hydrogen,"To provide a forum for parliamentarians to engage with leading businesses and organisations that, in the context of the Climate Change Act and the Paris Agreement, are working to enable the UK to meet its decarbonisation targets through implementation of large scale hydrogen projects, and discuss policy options to support these.",Subject,Connect,"Connect is paid by the following to act as the group's secretariat: Northern Gas Networks, Wales and West Utilities, Cadent, Southern Gas Networks, Energy and Utilities Alliance From 03/07/2018 To 02/07/2019",28501,30000,2018-07-03,2018-07-30
All-Party Parliamentary Group on Illicit Trade,"To investigate and raise awareness of illicit trade in Britain, support closer working with parliamentarians to bring fresh impetus and ideas to tackling illicit trade and to highlight the impact on local businesses, high streets and communities.",Subject,Connect,Connect is paid by the following to act as the group's secretariat: Coca Cola European Partners and PA Consulting. From 05/09/2018 To 04/09/2019,19501,21000,2018-09-05,2018-11-05
All-Party Parliamentary Group on Immigration Detention,"To increase knowledge in Parliament on immigration detention in the UK and its impacts; to connect parliamentarians with relevant research, organisations and experts, including people with lived experience of detention; and to advocate for evidence-based policy reforms and the welfare of detainees.",Subject,Medical Justice,Secretariat From 24/04/2019 To 23/04/2020,9001,10500,2019-04-24,2019-05-13
All-Party Parliamentary Group on Industrial Heritage,To promote the industrial heritage of the United Kingdom and aim to help support British industrial heritage sites in a time of austerity.,Subject,V&A,Event Cost Met Venue rental and filming at event,6001,7500,2019-07-11,2019-07-18
All-Party Parliamentary Group on Industrial Heritage,To promote the industrial heritage of the United Kingdom and aim to help support British industrial heritage sites in a time of austerity.,Subject,Historic England,Event Cost Met Catering,1501,3000,2019-07-11,2019-07-18
All-Party Parliamentary Group for the UK's Innovation Corridor,"To champion the UK's Innovation Corridor that runs between London and Cambridge as a vital region to support economic growth, the delivery of new homes and the creation of skilled jobs.",Subject,London Stansted Cambridge Consortium,Secretariat From 28/03/2019 To 27/03/2020,3001,4500,2019-03-28,2019-07-16
All-Party Parliamentary Group for Insurance and Financial Services,"To examine issues of interest to the insurance and broader financial sectors, especially where there are legislative implications.",Subject,Chartered Insurance Institute,Secretariat From 18/07/2019 To 17/07/2020,4501,6000,2019-07-18,2019-10-29
All-Party Parliamentary Group for Intellectual Property,To debate and highlight the value of intellectual property (IP) and the importance of its promotion and protection. The Group meets several times a year on topical issues relating to intellectual property.,Subject,Luther Pendragon,Secretariat From 11/07/2018 To 10/07/2019,4501,6000,2019-07-11,2019-08-29
All-Party Parliamentary Group on International Conservation,"To provide a forum to address wildlife conservation and biodiversity issues affecting our planet including but not limited to ecosystem collapse, species extinctions, land degradation, invasive species, illegal fishing and other threats to the natural world.",Subject,International Conservation Caucus Foundation Group,International Conservation Caucus Foundation Group is paid by The Oak Foundation to act as the group's secretariat From 04/06/2019 To 03/06/2020,24001,25500,2019-06-04,2019-06-19
All-Party Parliamentary Group for International Students,"To recognise the internationalisation and global prominence of UK education; promote the value of international students to UK education, economy and 'soft power'; raise awareness of issues which affect international students and UK education; and provide a platform for collaboration between parliamentarians, international education institutions and professionals and business leaders.",Subject,University of Sheffield,"Research, production and design for inquiry and report published 06/11/2018",15001,16500,2018-11-06,2018-12-03
All-Party Parliamentary Group for International Students,"To recognise the internationalisation and global prominence of UK education; promote the value of international students to UK education, economy and 'soft power'; raise awareness of issues which affect international students and UK education; and provide a platform for collaboration between parliamentarians, international education institutions and professionals and business leaders.",Subject,British Council,Reception,1501,3000,2018-11-13,2018-12-12
All-Party Parliamentary Group for International Students,"To recognise the internationalisation and global prominence of UK education; promote the value of international students to UK education, economy and 'soft power'; raise awareness of issues which affect international students and UK education; and provide a platform for collaboration between parliamentarians, international education institutions and professionals and business leaders.",Subject,Independent Higher Education,Secretariat From 12/07/2019 To 11/07/2020,9001,10500,2019-07-12,2019-08-15
All-Party Parliamentary Group for International Trade and Investment,"To discuss ways in which the UK government can help UK businesses export and take part in international trade and promote links between parliamentarians, industry and government.",Subject,The Association of Chartered Certified Accountants,Secretariat From 28/06/2019 To 27/06/2020,12001,13500,2019-06-28,2019-06-06
All-Party Parliamentary Group on Jainism,To raise the profile of Jainism in the UK.,Subject,Institute of Jainology Ltd,Secretariat From 13/09/2017 To 12/09/2018,1501,3000,2017-09-13,2017-09-13
All-Party Parliamentary Group on Knife Crime,"To evaluate policies and programmes aimed at reducing knife crime, gain better understanding of its root causes and the wider context of youth violence, and develop recommendations for new measures at both acute and preventative stages with a view to reducing levels of knife crime.",Subject,Redthread,Joint Secretariat From 12/09/2018 To 11/09/2019,1501,3000,2018-09-12,2019-01-10
All-Party Parliamentary Group on Knife Crime,"To evaluate policies and programmes aimed at reducing knife crime, gain better understanding of its root causes and the wider context of youth violence, and develop recommendations for new measures at both acute and preventative stages with a view to reducing levels of knife crime.",Subject,Barnardo's,Joint Secretariat From 12/09/2018 To 11/09/2019,1501,3000,2018-09-12,2019-01-10
All-Party Parliamentary Group on Learning Disability,"To look at the issues facing people with a learning disability and their families. The group looks at the key issues of the day, across areas including health, social care, education, work and benefits.",Subject,Royal Mencap Society,Secretariat From 11/07/2018 To 10/07/2019,9001,10500,2018-07-11,2018-09-14
All-Party Parliamentary Group on Legal Aid,To promote parliamentary and public understanding of the importance of the role of publically funded legal services.,Subject,Legal Aid Practitioners Group,Legal Aid Practitioners Group is funded by Legal Education Foundation to act as the group's secretariat From 12/07/2018 To 11/07/2019,7501,9000,2018-07-12,2018-09-17
All-Party Parliamentary Group on Legal and Constitutional Affairs,"To facilitate greater interaction between Parliament and the different branches of the legal profession, and to promote dialogue and understanding of legal and constitutional issues relating to justice and the legal services sector.",Subject,The Law Society,Secretariat From 01/11/2018 To 31/10/2019,1501,3000,2018-11-01,2019-01-23
"All-Party Parliamentary Group on Global Lesbian, Gay, Bisexual, and Transgender Rights","To advance LGBT rights around the world. We provide a forum for parliamentarians and organisations across the public, private and third sectors to work together to champion LGBT rights and push back against abuse and discrimination. We principally focus on international LGBT rights but include domestic issues within our remit.",Subject,Kaleidoscope Trust,Kaleidoscope Trust is paid by the Baring Foundation to act as the group's secretariat From 13/09/2018 To 12/09/2019,19501,21000,2018-09-13,2019-01-11
"All-Party Parliamentary Group on Global Lesbian, Gay, Bisexual, and Transgender Rights","To advance LGBT rights around the world. We provide a forum for parliamentarians and organisations across the public, private and third sectors to work together to champion LGBT rights and push back against abuse and discrimination. We principally focus on international LGBT rights but include domestic issues within our remit.",Subject,Kaleidoscope Trust,Costs met for APPG staff to attend a conference in South Africa from 2-12 July 2019; plus annual cost of maintaining the APPG's website,1501,3000,2019-07-02,2019-08-09
All-Party Parliamentary Light Rail Group,"To encourage, promote and develop light rail, trams and environs and its benefits as a mode of transport.",Subject,Light Rail (UK) acts as the group's secretariat,Secretariat From 06/09/2018 To 05/09/2019,7501,9000,2018-09-06,2018-08-24
All-Party Parliamentary Group on Limits to Growth,"To create the space for cross-party dialogue on environmental and social limits to growth; to assess the evidence for such limits, identify the risks and build support for appropriate responses; and to contribute to the international debate on redefining prosperity.",Subject,Centre for the Understanding of Sustainable Prosperity,Secretariat From 17/07/2018 To 16/07/2019,4501,6000,2017-07-17,2018-11-16
All-Party Parliamentary Group on Literacy,"To champion the fight to improve public understanding of the vital importance and impact of literacy and to ensure parliamentary knowledge and support for the latest research, policy and best practice in the field of literacy.",Subject,National Literacy Trust,Secretariat From 12/09/2018 To 11/09/2019,3001,4500,2018-09-12,2018-12-06
All-Party Parliamentary Group on Liver Health,"To promote discussion of liver disease, including its major causes of viral hepatitis, alcohol and obesity, and to raise matters of concern with, and make representations to, government and other policy makers.",Subject,The Hepatitis C Trust,Secretariat From 05/07/2018 To 04/07/2019,9001,10500,2018-07-05,2018-10-18
Liverpool City Region All-Party Parliamentary Group,"To bring MPs and Peers of all parties together with key leaders, including the Liverpool City Region Metro Mayor and those in local government, the private sector and social enterprise, to help maximise future investment in the wider Liverpool City Region for the benefit of all its local communities.",Subject,DevoConnect,Secretariat From 10/09/2018 To 09/09/2019,15001,16500,2018-09-10,2018-09-24
All-Party Parliamentary Loan Charge Group,"To raise concerns about the 2019 Loan Charge, which will affect thousands of freelance, contract and locum workers in the UK as well as the wider context of fairness of tax legislation and the conduct of Her Majesty's Revenue and Customs.",Subject,Loan Charge Action Group,Secretariat From 23/01/2019 To 22/01/2020,24001,25500,2019-01-23,2019-02-01
All-Party Parliamentary Group on Local Authority Pension Funds,To discuss the issues and concerns of local authority pension funds and the work of the Local Authority Pension Fund Forum.,Subject,Smith Institute,Smith Institute is paid by Pensions and Investment Research Consultancy to act as the group's secretariat From 11/07/2018 To 10/07/2019,7501,9000,2018-07-11,2018-10-10
All-Party Parliamentary Group for London,"To promote London in the interests of all its people, places and businesses as a global city and powerhouse of the economy.",Subject,London Councils,Secretariat From 28/06/2019 To 27/06/2020,4501,6000,2019-06-28,2019-07-24
All-Party Parliamentary Group for London's Green Belt,To advocate Green Belt-friendly planning policies and contribute to the debate on how best to achieve sustainable development that protects London's Green Belt for the benefit of future generations.,Subject,Campaign to Protect Rural England,Secretariat From 31/10/2018 To 30/10/2019,1501,3000,2018-10-31,2019-02-07
All-Party Parliamentary Group for London's Planning and Built Environment,"To explore the social, economic and environmental issues affecting London at a strategic level and build consensus as to the ways in which these might be addressed.",Subject,The London Society,Secretariat From 13/07/2019 To 12/07/2020,4501,6000,2019-07-13,2018-08-03
All-Party Parliamentary Group on Loneliness,To drive forward cross-party work among parliamentarians to influence legislation and policy making in order to reduce loneliness and build on the work of the Jo Cox Commission on Loneliness.,Subject,British Red Cross,Secretariat From 24/01/2018 To 23/01/2019,1501,3000,2018-01-24,2019-05-15
All-Party Parliamentary Group for Longevity,"Cross-disciplinary exchange on benefits of longevity (as opposed to 'problems' of ageing) within an ethical, citizen-centred framework to maximise the societal benefits of enabling healthier, more productive and purposeful lives.  AI and data-driven solutions to increase healthspan and democratise access to the 'longevity dividend' for citizens will be a focus.",Subject,Longevity International cic,Longevity International cic is funded by Biogerontology Research Foundation to act as the group's secretariat From 07/03/2019 To 06/03/2020,97501,99000,2019-03-07,2019-03-13
All-Party Parliamentary Group for Looked After Children and Care Leavers,"To promote the voice of children and young people in care, in order to promote first class government policy for children in care and care leavers.",Subject,Become,Secretariat From 06/09/2018 To 05/09/2019,9001,10500,2018-09-06,2018-11-14
All-Party Parliamentary Group on Management,To drive UK productivity and social well-being through promoting closer understanding between parliamentarians and UK managers and leaders from across all sectors.,Subject,Chartered Management Institute,Secretariat From 18/07/2018 To 17/07/2019,4501,6000,2018-07-18,2018-08-30
All-Party Parliamentary Manufacturing Group,"To encourage the exchange of knowledge and understanding between Parliament and the manufacturing industries, helping to raise the profile of manufacturing both inside and outside of Parliament.",Subject,Policy Connect,Secretariat From 10/07/2019 To 09/07/2020,88501,90000,2019-07-10,2019-07-25
All-Party Parliamentary Markets Group,To ensure the viability and stress the economic importance of the UK's retail markets industry.,Subject,NMTF Ltd,Secretariat From 05/07/2019 To 04/07/2020,1501,3000,2019-07-05,2019-09-11
All-Party Parliamentary Media Group,To provide a forum for the discussion of public policy on the media.,Subject,The Whitehouse Consultancy Ltd,"The Whitehouse Consultancy Ltd is funded by the following for the group's annual reception: Arqiva, BT, Camelot, Discovery, Global, News Now, News UK, Screen Skills, UKTV, and Viacom",15001,16500,2019-07-18,2019-10-21
All-Party Parliamentary Media Group,To provide a forum for the discussion of public policy on the media.,Subject,The Whitehouse Consultancy Ltd,"The Whitehouse Consultancy Ltd is funded by the following to act as the group's secretariat: Arqiva, BT, Camelot, Discovery, Global, News Now, News UK, Screen Skills, UKTV, and Viacom From 18/07/2019 To 17/07/2020",15001,16500,2019-07-18,2019-10-21
All-Party Parliamentary Group on Medical Research,"To provide an ongoing forum and network for parliamentarians with an interest in medical research; facilitate collaboration between parliamentarians and medical research bodies; and provide MPs and peers with up to date information on developments in medical research, including aspects of public health, ethics of research, and the implications of research findings for society.",Subject,Association of Medical Research Charities,Secretariat From 12/09/2018 To 11/09/2019,37501,39000,2018-09-12,2018-12-06
All-Party Parliamentary Group on Access to Medicines and Medical Devices,"To examine pricing, funding and wider access issues relating to the availability of medicines and medical technologies on the NHS in England.",Subject,Decideum Ltd,Secretariat From 12/09/2018 To 11/09/2019,9001,10500,2018-09-12,2018-10-11
All-Party Parliamentary Group on Mental Health,To inform parliamentarians about all aspects of mental health.,Subject,Rethink Mental Illness,Joint Secretariat From 12/07/2018 To 11/07/2019,3001,4500,2018-07-12,2019-01-07
All-Party Parliamentary Group on Mental Health,To inform parliamentarians about all aspects of mental health.,Subject,Royal College of Psychiatrists,Joint Secretariat From 12/07/2018 To 11/07/2019,3001,4500,2018-07-12,2019-01-07
All-Party Parliamentary Group on Mentoring,The APPG believes in the power of mentoring to unlock the full potential of young people and aid social mobility across the UK.,Subject,The Diana Award,Secretariat From 12/09/2018 To 11/09/2019,13501,15000,2018-09-12,2019-02-04
"All-Party Parliamentary Group on Metal, Stone and Heritage Crime","To raise awareness of the social and economic impact of metal, stone and heritage crime.",Subject,British Metals Recycling Association,Secretariat From 17/04/2018 To 16/04/2019,1501,3000,2018-04-17,2018-04-24
All-Party Parliamentary Group on Micronutrients and Health,"To promote awareness and understanding, and to help form strategies in Parliament, of the vital role of micronutrients (vitamins and minerals) in helping people to be healthier, and of the importance of nutritional food supplements, which are now taken by over 25 million consumers, 60% of them on a daily basis.",Subject,Health Food Manufacturers' Association,Secretariat From 27/06/2019 To 26/06/2020,1501,3000,2019-06-27,2019-06-06
All-Party Parliamentary Group on Migration,"To support the emergence of mainstream, progressive policy debate on migration in the UK parliament.",Subject,The Good Faith Partnership,Secretariat From 17/07/2018 To 16/07/2019,3001,4500,2018-07-17,2019-05-15
All-Party Parliamentary Group on Mindfulness,"To review research evidence, current best practice, extent and success of implementation, and potential developments in the application of mindfulness within a range of policy areas, and to develop policy recommendations for government based on these findings.",Subject,The Mindfulness Initiative,Secretariat From 11/07/2019 To 10/07/2020,28501,30000,2019-07-11,2019-11-05
All-Party Parliamentary Group for Mining and Quarrying,To keep Members of both Houses up to date on issues to do with the provision of essential minerals produced in the UK to underpin construction and other industries.,Subject,Mineral Products Association,Secretariat From 31/10/2018 To 30/10/2019,3001,4500,2018-10-31,2018-12-11
All-Party Parliamentary Group on Modern Languages,"To explore the educational, skills-related, employment, competitive and cultural benefits of learning and using languages throughout the UK; to provide a parliamentary forum for information exchange and consultation; to encourage and support policies and action improving the take-up of languages in schools, further and higher education, in the workplace and in the community.",Subject,British Council,Secretariat From 17/07/2019 To 16/07/2020,15001,16500,2019-07-17,2019-10-28
All-Party Parliamentary Motor Group,"To debate current and future issues of strategic importance to the UK’s automotive industry, motorsport industry and vehicle users, focussing on the role of the motor vehicle, including the environmental impact; and to promote dialogue between politicians, these industries, users and other stakeholders.  The joint-secretariat partners collaborate to support this mission.",Subject,Society of Motor Manufacturers and Traders,Joint Secretariat From 13/09/2018 To 12/09/2019,3001,4500,2018-09-13,2018-11-01
All-Party Parliamentary Motor Group,"To debate current and future issues of strategic importance to the UK’s automotive industry, motorsport industry and vehicle users, focussing on the role of the motor vehicle, including the environmental impact; and to promote dialogue between politicians, these industries, users and other stakeholders.  The joint-secretariat partners collaborate to support this mission.",Subject,Motorsports Industry Association,Joint Secretariat From 13/09/2018 To 12/09/2019,1501,3000,2018-09-13,2018-11-01
All-Party Parliamentary Motor Group,"To debate current and future issues of strategic importance to the UK’s automotive industry, motorsport industry and vehicle users, focussing on the role of the motor vehicle, including the environmental impact; and to promote dialogue between politicians, these industries, users and other stakeholders.  The joint-secretariat partners collaborate to support this mission.",Subject,RAC Foundation,Joint Secretariat From 13/09/2018 To 12/09/2019,1501,3000,2018-09-13,2018-11-01
All-Party Parliamentary Motor Group,"To debate current and future issues of strategic importance to the UK’s automotive industry, motorsport industry and vehicle users, focussing on the role of the motor vehicle, including the environmental impact; and to promote dialogue between politicians, these industries, users and other stakeholders.  The joint-secretariat partners collaborate to support this mission.",Subject,Society of Motor Manufacturers and Traders,Event,1501,3000,2018-12-12,2019-01-10
All-Party Parliamentary Motor Group,"To debate current and future issues of strategic importance to the UK’s automotive industry, motorsport industry and vehicle users, focussing on the role of the motor vehicle, including the environmental impact; and to promote dialogue between politicians, these industries, users and other stakeholders.  The joint-secretariat partners collaborate to support this mission.",Subject,Society of Motor Manufacturers and Traders,Event,1501,3000,2019-01-23,2019-01-29
All-Party Parliamentary Motor Group,"To debate current and future issues of strategic importance to the UK’s automotive industry, motorsport industry and vehicle users, focussing on the role of the motor vehicle, including the environmental impact; and to promote dialogue between politicians, these industries, users and other stakeholders.  The joint-secretariat partners collaborate to support this mission.",Subject,Society of Motor Manufacturers and Traders,Event,1501,3000,2019-06-12,2019-07-02
All-Party Parliamentary Group on Motor Neurone Disease,"To raise awareness of Motor Neurone Disease (MND) and to provide a forum for discussion among parliamentarians on issues that affect people with MND, their carers and families.",Subject,Motor Neurone Disease Association,Secretariat From 12/07/2019 To 11/07/2020,1501,3000,2019-07-12,2019-07-19
All-Party Parliamentary Motorcycling Group,"To safeguard motorcycling interests by monitoring legislation for matters affecting motorcycling and taking remedial action where necessary; to represent motorcycling to fellow parliamentarians; to foster the good image of motorcycling, and, by example, encourage others to take up motorcycling.",Subject,Rowan Public Affairs Ltd,Secretariat From 19/07/2019 To 18/07/2020,1501,3000,2019-07-19,2019-10-28
Mountaineering All-Party Parliamentary Group,"To promote the sporting and recreational interests of climbers, hill walkers and mountaineers; to raise awareness of the physical and social benefits of mountaineering; and to campaign for sustainable access to cliffs, mountains and open countryside.",Subject,British Mountaineering Council,Secretariat From 10/07/2019 To 09/07/2020,1501,3000,2019-07-10,2019-07-17
All-Party Parliamentary Group for Multiple Sclerosis,To promote the interests of people affected by MS (Multiple Sclerosis).,Subject,MS Society,Secretariat From 05/12/2018 To 04/12/2019,4501,6000,2018-12-05,2018-03-28
All-Party Parliamentary Group for Muscular Dystrophy,"Raises awareness of all types of muscular dystrophy and neuromuscular conditions and promotes links between parliament, individuals and families affected by these muscle-wasting conditions, charities, scientists, health professionals and decision-makers.",Subject,Muscular Dystrophy UK,Secretariat From 18/07/2019 To 17/07/2020,3001,4500,2019-07-18,2019-10-29
All-Party Parliamentary Group on Music,To provide a discussion forum between the music industry and parliamentarians.,Subject,UK Music,Secretariat From 04/07/2019 To 03/07/2020,3001,4500,2019-07-04,2019-10-22
All-Party Parliamentary Group for Mutuals,To discuss and support mutuals.,Subject,Mutuo,Secretariat From 13/09/2018 To 12/09/2019,7501,9000,2018-09-13,2018-12-03
All-Party Parliamentary Group on National Parks,"To inform members of key issues relating to the UK's national parks, their authorities and areas that may merit NP status; to discuss issues of common concern; to advance the place of NPs in society within Parliament, focusing on conservation and enhancement, opportunities for public learning and enjoyment, and the well-being of NP communities.",Subject,National Parks England,Secretariat From 13/07/2018 To 12/07/2019,1501,3000,2018-07-13,2018-07-25
Net Zero All-Party Parliamentary Group,"To secure a low carbon and clean industrial and economic future for the UK, embed zero carbon solutions and accelerate net zero growth, innovation and global influence.",Subject,Vision10 (a campaign run by sustainability hub and DevoConnect),Vision10 is funded by Barratt Developments to act as the group's secretariat From 23/07/2019 To 22/07/2020,9001,10500,2019-07-23,2019-08-02
All-Party Parliamentary Group on Netball,To support netball.,Subject,MR Sport,Secretariat From 04/09/2019 To 03/09/2020,10501,12000,2019-09-04,2019-09-19
All-Party Parliamentary Group on No Recourse to Public Funds,"To draw attention to the challenges faced by destitute migrants who have no recourse to public funds by virtue of having irregular immigration status or a condition imposed on their visa, with a particular focus on families and vulnerable adults, and to contribute to the development of policy and legislation in this area.",Subject,Project 17,Project 17 is funded by Matrix Chambers to act as the group's secretariat From 21/05/2019 To 20/05/2020,3001,4500,2019-05-21,2019-10-09
Northern Powerhouse All-Party Parliamentary Group,"To bring together northern MPs and Peers with the new metro mayors and key leaders - from local government, the private and third sectors - to give a strong political voice for policies which support the northern economy and promote its potential as a place to study, work, live and invest.",Subject,Northern Powerhouse Partnership,Secretariat From 27/11/2018 To 26/11/2019,1501,3000,2018-11-27,2019-02-12
All-Party Parliamentary Group on Nuclear Energy,A forum for parliamentarians to discuss civil nuclear energy on a cross-party basis.,Subject,China General Nuclear,"Visit to Taishan, China From 04/11/2018 To 08/11/2018 Cost Met Flights and other travel expenses, accommodation and food",52501,54000,2018-11-04,2018-12-03
"All-Party Parliamentary Group on Nursery Schools, Nursery and Reception Classes",To promote the role of high quality early childhood education in improving children's life chances; and to provide opportunities for parliamentarians to discuss early years policy issues with practitioners and researchers.,Subject,Early Education,Secretariat From 16/01/2019 To 15/01/2020,7501,9000,2019-01-16,2018-02-13
All-Party Parliamentary Group on Nutrition for Growth,To support and challenge the UK government to maintain their leadership on global nutrition and to make a significant pledge at the Nutrition for Growth summit in Tokyo 2020.,Subject,RESULTS UK,Secretariat,6001,7500,2019-05-21,2019-06-11
All-Party Parliamentary Group on Nutrition for Growth,To support and challenge the UK government to maintain their leadership on global nutrition and to make a significant pledge at the Nutrition for Growth summit in Tokyo 2020.,Subject,RESULTS UK,Visit to Rome and Geneva From 06/06/2019 To 07/06/2019,1501,3000,2019-06-06,2019-08-01
All-Party Parliamentary Group on Obesity,To take a new approach to tackling obesity through treatment and prevention. The Group will have a focus on developing and promoting an optimum patient pathway for obesity and generating a public policy environment in which it is recognised by politicians and the NHS that obesity needs to be a priority.,Subject,PB Consulting,"PB Consulting is paid by grants from Novo Nordisk, Medtronic Ltd and Johnson & Johnson to act as the group's secretariat From 18/07/2017 To 17/07/2018",66001,67500,2017-07-18,2019-06-14
All-Party Parliamentary Group on Occupational Safety and Health,To provide a forum for the discussion and promotion of issues relating to occupational health and safety; to provide information to members of both houses of parliament on topical issues; and to publish reports as and when necessary.,Subject,TUC,Secretariat From 14/11/2018 To 13/11/2019,1501,3000,2018-11-14,2018-11-15
Ocean Conservation All-Party Parliamentary Group,"To address the most urgent ocean conservation issues affecting our marine and coastal areas, including but not limited to: plastic pollution, water quality, marine protected areas, climate change and coastal developments.",Subject,Surfers Against Sewage,Secretariat From 10/10/2018 To 09/10/2019,6001,7500,2018-10-10,2018-10-22
All-Party Parliamentary Group for Oil Refining Sector,"To provide a forum for discussion of issues relevant to the UK oil refining sector, discuss latest developments relevant to current policy priorities, UK and EU legislation and to raise matters with government and industry itself.",Subject,UK Petroleum Industry Association,Reception,3001,4500,2019-07-09,2019-08-06
All-Party Parliamentary Group on Oracy,"To co-ordinate research, promote best practice and encourage the overarching principles of oracy in education and society at large.",Subject,Voice 21,Secretariat From 16/05/2019 To 15/05/2020,7501,9000,2019-05-16,2019-06-14
All-Party Parliamentary Osteoporosis Group,To inform both Houses about osteoporosis.,Subject,National Osteoporosis Society,Secretariat From 18/07/2018 To 17/07/2019,4501,6000,2018-07-18,2018-10-25
All-Party Parliamentary Group on Ovarian Cancer,To provide a forum for MPs and peers to discuss ovarian cancer related issues; to raise areas of concern with government or other policy makers; to raise the profile of ovarian cancer within Parliament and seek opportunities to help improve survival and quality of life for women.,Subject,Target Ovarian Cancer,Secretariat From 12/09/2019 To 11/09/2020,1501,3000,2019-09-12,2019-10-22
All-Party Parliamentary Group on Pancreatic Cancer,To raise the profile of pancreatic cancer in Parliament; to raise issues of relevance with government and policy makers; and to influence policy to improve life for pancreatic cancer patients and survivors.,Subject,Pancreatic Cancer UK,Secretariat From 17/07/2019 To 16/07/2020,9001,10500,2019-07-17,2019-10-29
All-Party Parliamentary Group on Parkinson's,To raise awareness of the condition among parliamentarians and influence legislation and policy makers to improve the lives of people affected by the condition.,Subject,Parkinson's UK,Secretariat From 11/07/2019 To 10/07/2020,1501,3000,2019-07-11,2019-07-10
All-Party Parliamentary Group on Penal Affairs,To increase Members' knowledge of penal affairs and to work through parliamentary channels to reform the penal system.,Subject,Prison Reform Trust,Secretariat From 11/07/2019 To 10/07/2020,18001,19500,2019-07-11,2019-07-19
All-Party Parliamentary Group on Pensions,To develop and encourage pensions arrangements in the UK.,Subject,Association of Consulting Actuaries Ltd,Secretariat From 14/09/2018 To 13/09/2019,1501,3000,2018-09-14,2018-10-23
Performers' Alliance All-Party Parliamentary Group,"To work alongside the unions of the Performers' Alliance - Equity, the Musicians' Union and the Writers' Guild of Great Britain - to raise issues affecting performers and writers across the arts community and to provide a forum for issues relating to arts and culture policy.",Subject,Performers' Alliance,Secretariat From 05/07/2018 To 04/07/2019,12001,13500,2018-07-05,2018-11-20
All-Party Parliamentary Group on Personalised Medicine,Emerging science and technology have the potential to create a more effective and efficient NHS and deliver more personalised medicine. The APPG on Personalised Medicine explores the opportunities offered by medical innovations and works to ensure that patients and the wider public derive maximum benefits from them.,Subject,PHG Foundation,Secretariat From 12/07/2019 To 11/07/2020,24001,25500,2019-07-12,2019-07-19
All-Party Parliamentary Group on Philanthropy and Social Investment,"To further understanding of the role of philanthropy, giving and social investment in Parliament, and to act as a discussion forum for politicians, philanthropists, social investors and experts to develop policy to improve and increase the amount of giving and social investment to good causes in the UK.",Subject,Philanthropy Impact,Philanthropy Impact is funded by John H and Marjorie N Glasgow Foundation to act as the group's secretariat From 27/02/2019 To 26/02/2020,10501,12000,2019-02-27,2019-03-21
All-Party Parliamentary Group on Photonics,To raise awareness of the photonics industry and recognise the impact it makes on the UK economy and its potential for future economic growth.,Subject,SPIE Europe Ltd,Secretariat From 04/07/2018 To 03/07/2019,3001,4500,2018-07-04,2019-05-13
All-Party Parliamentary Pigeon Racing Group,"To promote greater understanding and appreciation of the social, sporting and cultural benefits of pigeon racing.",Subject,Pepper Shackleton Wellard,Pepper Shackleton Wellard Ltd is paid by The Royal Pigeon Racing Association to act as the group's secretariat From 12/09/2018 To 11/09/2019,1501,3000,2018-09-12,2018-10-17
